user_id,expedition_id
29509787,133736919
29509787,133736896
29509787,133736770
29509787,133736569
29509787,133736342
29509787,133736041
29509787,133735876
29509787,133735872
29387394,133735623
29509787,133733749
29509787,133733573
29509787,133733570
29509787,133733548
29509787,133733383
29509787,133732679
29509787,133732654
29509787,133732340
29387394,133732192
29387394,133732142
29387394,133732004
29387394,133731954
29387394,133731813
29387394,133731688
29387394,133731662
29387394,133731526
29509787,133730262
29509787,133730240
29509787,133729770
29509787,133729366
29387394,133728503
29387394,133728178
29509787,133728021
29509787,133727935
29509787,133727912
29509787,133727909
29509787,133727883
29509787,133727861
29509787,133727842
29509787,133727117
29509787,133727094
29509787,133726931
29509787,133726481
29509787,133723097
29509787,133723003
29509787,133722898
29509787,133722656
29509787,133722507
29509787,133722024
29387394,133719622
29387394,133719554
29509787,133717780
29387394,133717695
29387394,133715998
29387394,133715947
29387394,133715917
29387394,133715881
29387394,133715849
29387394,133715825
29509787,133715724
29509787,133715670
29509787,133715665
29387394,133715621
29509787,133714794
29509787,133714756
29509787,133714746
29509787,133714617
29509787,133714490
29509787,133714422
29509787,133714407
29509787,133714396
29509787,133714376
29509787,133714365
29509787,133714350
29509787,133714291
29509787,133714061
29509787,133713555
29509787,133713355
29509787,133712990
29509787,133712661
29509787,133712034
29509787,133711040
29509787,133710618
29509787,133704488
29509787,133704475
29509787,133704468
29509787,133704456
29509787,133704454
29509787,133704448
29509787,133704442
29509787,133704431
29509787,133704409
29509787,133703576
29509787,133703256
29509787,133701796
29509787,133701727
29509787,133701269
29509787,133700800
29509787,133700639
29387394,133698387
29387394,133698331
29509787,133697387
29509787,133697059
29509787,133697023
29509787,133696563
29509787,133696562
29509787,133696417
29509787,133696350
29509787,133696314
29509787,133696140
29509787,133696123
29509787,133695934
29509787,133695927
29509787,133695828
29387394,133695623
29387394,133695563
29387394,133695541
29509787,133695534
29387394,133695492
29387394,133695481
29509787,133695253
29509787,133695189
29387394,133695183
29509787,133695082
29387394,133695028
29387394,133695000
29509787,133693915
29509787,133693884
29509787,133693869
29509787,133693847
29509787,133693618
29509787,133693353
29509787,133691680
29509787,133691417
29509787,133691043
29509787,133690970
29509787,133690298
29509787,133689769
29509787,133689637
29509787,133688922
29387394,133685889
29387394,133682269
29387394,133682157
29509787,133681751
29509787,133681743
29509787,133681620
29509787,133681617
29509787,133681615
29509787,133681319
29509787,133681311
29509787,133681302
29509787,133679788
29509787,133679532
29509787,133679220
29509787,133679160
29509787,133678653
29509787,133678405
29509787,133678278
29509787,133678219
29509787,133678213
29509787,133678021
29509787,133677805
29509787,133677449
29509787,133677355
29509787,133676987
29509787,133676866
29387394,133675452
29387394,133675000
29387394,133674913
29387394,133674700
29387394,133674687
29387394,133674371
29387394,133674155
29387394,133673690
29387394,133673465
29387394,133673061
29387394,133672711
29509787,133672572
29509787,133672537
29509787,133672522
29509787,133672407
29509787,133672371
29509787,133672160
29509787,133671786
29509787,133671723
29509787,133671289
29509787,133670146
29387394,133669899
29509787,133669822
29387394,133669692
29387394,133669637
29387394,133669531
29509787,133669209
29509787,133669155
29509787,133668798
29509787,133668648
29509787,133668625
29509787,133668511
29509787,133668282
29509787,133667983
29509787,133667964
29509787,133667949
29509787,133667836
29509787,133667723
29509787,133667466
29509787,133667116
29509787,133666391
29509787,133666098
29509787,133665850
29509787,133665755
29509787,133664885
29509787,133664854
29509787,133664549
29509787,133664436
29509787,133663830
29509787,133663783
29509787,133662212
29509787,133662101
29509787,133661920
29509787,133661856
29509787,133661709
29387394,133661261
29387394,133660933
29387394,133660444
29387394,133659681
29509787,133658035
29509787,133657145
29509787,133657126
29509787,133657012
29509787,133656898
29509787,133656889
29509787,133656583
29509787,133656448
29509787,133656340
29509787,133656291
29509787,133656186
29509787,133656160
29509787,133656086
29509787,133656068
29509787,133655510
29509787,133655471
29509787,133655442
29509787,133655435
29509787,133655017
29509787,133654964
29509787,133654568
29509787,133654294
29509787,133654246
29509787,133654089
29509787,133654050
29509787,133654022
29509787,133653859
29509787,133652336
29509787,133650764
29509787,133650656
29509787,133650647
29509787,133650374
29387394,133649691
29509787,133649554
29509787,133649532
29509787,133649520
29509787,133649261
29509787,133648976
29509787,133648827
29509787,133648586
29387394,133646035
29387394,133646026
29387394,133646003
29387394,133645999
29387394,133645994
